Date,Open,High,Low,Close,Adj Close,Volume
1973-06-01,0.000000,7.845934,7.489301,7.667618,0.270901,590803
1973-07-01,0.000000,7.667618,7.132668,7.132668,0.252001,765493
1973-08-01,0.000000,7.177247,6.954351,7.043509,0.248851,1111785
1973-09-01,0.000000,7.221826,6.954351,7.221826,0.260491,1625476
1973-10-01,0.000000,7.355563,7.132668,7.221826,0.260491,1798204
1973-11-01,0.000000,7.266405,6.151926,6.330243,0.228332,1366109
1973-12-01,0.000000,6.553138,6.062767,6.419401,0.236520,1304420
1974-01-01,0.000000,6.909772,6.419401,6.597718,0.243090,731566
1974-02-01,0.000000,6.954351,6.597718,6.686876,0.246376,593047
1974-03-01,0.000000,6.776034,6.419401,6.463980,0.243278,1073370
1974-04-01,0.000000,6.508559,4.859130,4.903709,0.184556,2362091
1974-05-01,0.000000,5.304922,4.012126,4.190442,0.157711,2196654
1974-06-01,0.000000,4.413338,3.566334,3.967546,0.154284,1494811
1974-07-01,0.000000,4.547076,3.789230,4.012126,0.156017,1673707
1974-08-01,0.000000,4.502496,3.566334,3.655492,0.142149,1028787
1974-09-01,0.000000,3.833809,3.477175,3.655492,0.147346,1357416
1974-10-01,0.000000,4.368759,3.521755,3.878388,0.156330,1864940
1974-11-01,0.000000,4.056705,3.566334,3.610913,0.145549,1032993
1974-12-01,0.000000,3.878388,3.343438,3.878388,0.162176,1674546
1975-01-01,0.000000,4.814551,3.967546,4.680813,0.195729,1414618
1975-02-01,0.000000,5.260342,4.279601,4.324180,0.180817,1096083
1975-03-01,0.000000,4.636234,4.368759,4.457917,0.192085,898121
1975-04-01,0.000000,4.769971,4.324180,4.725392,0.203610,1360219
1975-05-01,0.000000,4.948288,4.636234,4.636234,0.199768,1453313
1975-06-01,0.000000,5.527817,4.636234,5.349501,0.237521,1802690
1975-07-01,0.000000,5.349501,4.992867,5.082026,0.225644,1235722
1975-08-01,0.000000,5.082026,4.859130,4.992867,0.221686,1359101
1975-09-01,0.000000,4.992867,4.547076,4.636234,0.211949,1122721
1975-10-01,0.000000,5.349501,4.591655,5.304922,0.242519,2772875
1975-11-01,0.000000,5.527817,5.215763,5.304922,0.242519,1303578
1975-12-01,0.000000,5.349501,5.037447,5.349501,0.251202,1285633
1976-01-01,0.000000,6.062767,5.304922,5.973609,0.280508,2305729
1976-02-01,0.000000,6.107347,5.795292,5.973609,0.280508,2016918
1976-03-01,0.000000,5.884451,5.349501,5.750713,0.270042,1796804
1976-04-01,0.000000,5.929030,5.661555,5.884451,0.283255,1299376
1976-05-01,0.000000,6.018188,5.572397,5.661555,0.272526,1374520
1976-06-01,0.000000,5.750713,5.349501,5.661555,0.279470,1475185
1976-07-01,0.000000,5.884451,5.572397,5.839872,0.288272,1516963
1976-08-01,0.000000,6.196505,5.750713,5.884451,0.290473,1626319
1976-09-01,0.000000,6.330243,5.839872,6.241084,0.315634,1934761
1976-10-01,0.000000,6.285663,6.018188,6.151926,0.311125,2348913
1976-11-01,0.000000,6.241084,5.572397,5.973609,0.302107,2077206
1976-12-01,0.000000,6.419401,5.929030,6.374822,0.330189,3624452
1977-01-01,0.000000,6.642297,6.196505,6.463980,0.334807,2414524
1977-02-01,0.000000,6.553138,6.196505,6.241084,0.323262,1828208
1977-03-01,0.000000,6.642297,6.107347,6.597718,0.349757,2563698
1977-04-01,0.000000,6.865193,6.597718,6.820613,0.361573,3387229
